article_no,category,folder,image_path,source_image_url,source_product_url,title
R42,takrosetter,R,/opt/www/produkter/R/R42.jpg,https://gipsstuckaturer.se/wp-content/uploads/2024/03/R42-1.jpg,https://gipsstuckaturer.se/butik/dekorativa-takrosetter/takrosett-r/,Stuckatur takrosett R42 - Gipsstuckaturer.se
RP20,takrosetter,R,/opt/www/produkter/R/RP20.jpg,https://gipsstuckaturer.se/wp-content/uploads/2021/03/stuckaturer-stockholm-takrosett-pr20-gipsstuckaturer-se.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp20-rund/,Stuckatur takrosett RP20 - Gipsstuckaturer.se
RP20,takrosetter,R,/opt/www/produkter/R/RP20_2.jpg,https://gipsstuckaturer.se/wp-content/uploads/2021/03/stuckaturer-stockholm-takrosett-pr20-prev-gipsstuckaturer-se.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp20-rund/,Stuckatur takrosett RP20 - Gipsstuckaturer.se
RP30,takrosetter,R,/opt/www/produkter/R/RP30.jpg,https://gipsstuckaturer.se/wp-content/uploads/2021/03/stuckaturer-stockholm-takrosett-pr30-gipsstuckaturer-se.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp30-rund/,Stuckatur takrosett RP30 - Gipsstuckaturer.se
RP30,takrosetter,R,/opt/www/produkter/R/RP30_2.jpg,https://gipsstuckaturer.se/wp-content/uploads/2021/03/stuckaturer-stockholm-takrosett-pr30-prev-gipsstuckaturer-se.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp30-rund/,Stuckatur takrosett RP30 - Gipsstuckaturer.se
RP40,takrosetter,R,/opt/www/produkter/R/RP40.jpg,https://gipsstuckaturer.se/wp-content/uploads/2021/03/stuckaturer-stockholm-takrosett-pr40-gipsstuckaturer-se.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp40/,Stuckatur takrosett RP40 - Gipsstuckaturer.se
RP40,takrosetter,R,/opt/www/produkter/R/RP40_2.jpg,https://gipsstuckaturer.se/wp-content/uploads/2021/03/stuckaturer-stockholm-takrosett-pr40-prev-gipsstuckaturer-se.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp40/,Stuckatur takrosett RP40 - Gipsstuckaturer.se
RP50,takrosetter,R,/opt/www/produkter/R/RP50.jpg,https://gipsstuckaturer.se/wp-content/uploads/2021/03/stuckaturer-stockholm-takrosett-pr50-gipsstuckaturer-se.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp50-rund/,Stuckatur takrosett RP50 - Gipsstuckaturer.se
RP50,takrosetter,R,/opt/www/produkter/R/RP50_2.jpg,https://gipsstuckaturer.se/wp-content/uploads/2021/03/stuckaturer-stockholm-takrosett-pr50-prev-gipsstuckaturer-se.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp50-rund/,Stuckatur takrosett RP50 - Gipsstuckaturer.se
RP7-220,takrosetter,R,/opt/www/produkter/R/RP7-220.jpg,https://gipsstuckaturer.se/wp-content/uploads/2024/03/RP7_220-1.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp7-220/,Stuckatur takrosett RP7-220 - Gipsstuckaturer.se
RP7-320,takrosetter,R,/opt/www/produkter/R/RP7-320.jpg,https://gipsstuckaturer.se/wp-content/uploads/2024/03/RP7_320-1.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp7-320/,Stuckatur takrosett RP7-320 - Gipsstuckaturer.se
RP7-650,takrosetter,R,/opt/www/produkter/R/RP7-650.jpg,https://gipsstuckaturer.se/wp-content/uploads/2024/03/RP7_650-1.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp7-650/,Stuckatur takrosett RP7-650 - Gipsstuckaturer.se
RP7,takrosetter,R,/opt/www/produkter/R/RP7.jpg,https://gipsstuckaturer.se/wp-content/uploads/2022/09/stuckaturer-stockholm-takrosett-rp7-gipsstuckaturer-se.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp7/,Stuckatur takrosett RP7 - Gipsstuckaturer.se
RP70,takrosetter,R,/opt/www/produkter/R/RP70.jpg,https://gipsstuckaturer.se/wp-content/uploads/2024/03/RP70.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosett-rp70/,Stuckatur takrosett RP70 - Gipsstuckaturer.se
RP1,takrosetter,R,/opt/www/produkter/R/RP1.jpg,https://gipsstuckaturer.se/wp-content/uploads/2019/01/stuckaturer-stockholm-takrosetter-takrosett-rp1-gipsstuckaturer-se.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosetter-takrosett-rp1-rund/,Stuckatur takrosett RP1 - Gipsstuckaturer.se
RP1,takrosetter,R,/opt/www/produkter/R/RP1_2.jpg,https://gipsstuckaturer.se/wp-content/uploads/2019/01/stuckaturer-stockholm-takrosetter-takrosett-rp1-prev-gipsstuckaturer-se.jpg,https://gipsstuckaturer.se/butik/profilerade-takrosetter/takrosetter-takrosett-rp1-rund/,Stuckatur takrosett RP1 - Gipsstuckaturer.se
